,A,B,C,D,Z,X,Y
0,0,,,,13.0,18.0,13.0
1,1,,,,3.0,14.0,6.0
2,4,,,,16.0,4.0,14.0
3,6,,,,1.0,3.0,13.0
4,7,,,,5.0,14.0,4.0
5,10,,,,13.0,6.0,19.0
7,11,,,,1.0,18.0,1.0
8,14,,,,5.0,1.0,11.0
10,15,,,,5.0,8.0,11.0
12,16,,,,0.0,7.0,4.0
14,18,,,,0.0,11.0,11.0
15,33,47.0,95.0,43.0,,,
16,50,55.0,34.0,73.0,,,
17,51,84.0,99.0,3.0,,,
18,52,93.0,51.0,25.0,,,
19,53,4.0,9.0,3.0,,,
20,54,62.0,61.0,64.0,,,
21,56,65.0,35.0,22.0,,,
22,58,45.0,49.0,16.0,,,
23,91,40.0,44.0,12.0,,,
25,93,26.0,51.0,21.0,,,
27,94,17.0,64.0,60.0,,,
28,95,57.0,92.0,5.0,,,
29,98,67.0,86.0,9.0,,,
